,zhonghnanindown,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,average
5183,3,3,4,4,1,4,5,8,3,7,4,0,4,7,4.333333333
5184,1,3,3,4,4,1,4,5,8,3,7,4,0,4,3
5185,3,1,3,3,4,4,1,4,5,8,3,7,4,0,1.333333333
5186,5,3,1,3,3,4,4,1,4,5,8,3,7,4,3
5187,3,5,3,1,3,3,4,4,1,4,5,8,3,7,2.666666667
5188,4,3,5,3,1,3,3,4,4,1,4,5,8,3,3
5189,3,4,3,5,3,1,3,3,4,4,1,4,5,8,1.666666667
5190,2,3,4,3,5,3,1,3,3,4,4,1,4,5,3.666666667
5191,6,2,3,4,3,5,3,1,3,3,4,4,1,4,2.666666667
5192,2,6,2,3,4,3,5,3,1,3,3,4,4,1,3.666666667
5193,2,2,6,2,3,4,3,5,3,1,3,3,4,4,1.333333333
5194,4,2,2,6,2,3,4,3,5,3,1,3,3,4,4
5195,1,4,2,2,6,2,3,4,3,5,3,1,3,3,4
5196,2,1,4,2,2,6,2,3,4,3,5,3,1,3,5
5197,1,2,1,4,2,2,6,2,3,4,3,5,3,1,2
5198,6,1,2,1,4,2,2,6,2,3,4,3,5,3,2.666666667
5199,4,6,1,2,1,4,2,2,6,2,3,4,3,5,1.333333333
5200,5,4,6,1,2,1,4,2,2,6,2,3,4,3,3.333333333
5201,1,5,4,6,1,2,1,4,2,2,6,2,3,4,2.333333333
5202,2,1,5,4,6,1,2,1,4,2,2,6,2,3,2
5203,4,2,1,5,4,6,1,2,1,4,2,2,6,2,1
5204,1,4,2,1,5,4,6,1,2,1,4,2,2,6,1.333333333
5205,1,1,4,2,1,5,4,6,1,2,1,4,2,2,3.333333333
5206,6,1,1,4,2,1,5,4,6,1,2,1,4,2,2.666666667
5207,2,6,1,1,4,2,1,5,4,6,1,2,1,4,0.666666667
5208,2,2,6,1,1,4,2,1,5,4,6,1,2,1,1.333333333
5209,1,2,2,6,1,1,4,2,1,5,4,6,1,2,2.333333333
5210,0,1,2,2,6,1,1,4,2,1,5,4,6,1,1.666666667
5211,1,0,1,2,2,6,1,1,4,2,1,5,4,6,1.333333333
5212,2,1,0,1,2,2,6,1,1,4,2,1,5,4,1.666666667
5213,0,2,1,0,1,2,2,6,1,1,4,2,1,5,1
5214,3,0,2,1,0,1,2,2,6,1,1,4,2,1,0.666666667
5215,4,3,0,2,1,0,1,2,2,6,1,1,4,2,0.666666667
5216,0,4,3,0,2,1,0,1,2,2,6,1,1,4,0.333333333
5217,1,0,4,3,0,2,1,0,1,2,2,6,1,1,0.666666667
5218,3,1,0,4,3,0,2,1,0,1,2,2,6,1,0.666666667
5219,2,3,1,0,4,3,0,2,1,0,1,2,2,6,2.333333333
5220,3,2,3,1,0,4,3,0,2,1,0,1,2,2,2
5221,1,3,2,3,1,0,4,3,0,2,1,0,1,2,2
5222,0,1,3,2,3,1,0,4,3,0,2,1,0,1,0
5223,2,0,1,3,2,3,1,0,4,3,0,2,1,0,0.333333333
5224,3,2,0,1,3,2,3,1,0,4,3,0,2,1,1
5225,3,3,2,0,1,3,2,3,1,0,4,3,0,2,2.333333333
5226,0,3,3,2,0,1,3,2,3,1,0,4,3,0,2.333333333
5227,4,0,3,3,2,0,1,3,2,3,1,0,4,3,1.666666667
5228,1,4,0,3,3,2,0,1,3,2,3,1,0,4,2
5229,2,1,4,0,3,3,2,0,1,3,2,3,1,0,2
5230,1,2,1,4,0,3,3,2,0,1,3,2,3,1,1
5231,0,1,2,1,4,0,3,3,2,0,1,3,2,3,1.333333333
5232,1,0,1,2,1,4,0,3,3,2,0,1,3,2,1.333333333
5233,1,1,0,1,2,1,4,0,3,3,2,0,1,3,1.333333333
5234,2,1,1,0,1,2,1,4,0,3,3,2,0,1,2
5235,2,2,1,1,0,1,2,1,4,0,3,3,2,0,1.333333333
5236,3,2,2,1,1,0,1,2,1,4,0,3,3,2,1.666666667
5237,1,3,2,2,1,1,0,1,2,1,4,0,3,3,1.666666667
5238,3,1,3,2,2,1,1,0,1,2,1,4,0,3,2.333333333
5239,4,3,1,3,2,2,1,1,0,1,2,1,4,0,2
5240,0,4,3,1,3,2,2,1,1,0,1,2,1,4,2.666666667
5241,6,0,4,3,1,3,2,2,1,1,0,1,2,1,3.333333333
5242,4,6,0,4,3,1,3,2,2,1,1,0,1,2,2.666666667
5243,1,4,6,0,4,3,1,3,2,2,1,1,0,1,3.666666667
5244,5,1,4,6,0,4,3,1,3,2,2,1,1,0,2.333333333
5245,5,5,1,4,6,0,4,3,1,3,2,2,1,1,5.333333333
5246,3,5,5,1,4,6,0,4,3,1,3,2,2,1,3
5247,5,3,5,5,1,4,6,0,4,3,1,3,2,2,4.333333333
5248,7,5,3,5,5,1,4,6,0,4,3,1,3,2,4.666666667
5249,3,7,5,3,5,5,1,4,6,0,4,3,1,3,5
5250,9,3,7,5,3,5,5,1,4,6,0,4,3,1,5.333333333
5251,6,9,3,7,5,3,5,5,1,4,6,0,4,3,6.666666667
5252,6,6,9,3,7,5,3,5,5,1,4,6,0,4,8.333333333
5253,9,6,6,9,3,7,5,3,5,5,1,4,6,0,5.666666667
5254,13,9,6,6,9,3,7,5,3,5,5,1,4,6,7.333333333
5255,8,13,9,6,6,9,3,7,5,3,5,5,1,4,10.33333333
5256,16,8,13,9,6,6,9,3,7,5,3,5,5,1,13
5257,15,16,8,13,9,6,6,9,3,7,5,3,5,5,13.33333333
5258,27,15,16,8,13,9,6,6,9,3,7,5,3,5,15.33333333
5259,25,27,15,16,8,13,9,6,6,9,3,7,5,3,21.33333333
5260,19,25,27,15,16,8,13,9,6,6,9,3,7,5,17.66666667
5261,39,19,25,27,15,16,8,13,9,6,6,9,3,7,32.33333333
5262,38,39,19,25,27,15,16,8,13,9,6,6,9,3,33
5263,36,38,39,19,25,27,15,16,8,13,9,6,6,9,30.33333333
5264,40,36,38,39,19,25,27,15,16,8,13,9,6,6,33.33333333
5265,39,40,36,38,39,19,25,27,15,16,8,13,9,6,43.33333333
5266,41,39,40,36,38,39,19,25,27,15,16,8,13,9,43
5267,28,41,39,40,36,38,39,19,25,27,15,16,8,13,34.66666667
5268,32,28,41,39,40,36,38,39,19,25,27,15,16,8,40
5269,41,32,28,41,39,40,36,38,39,19,25,27,15,16,44
5270,38,41,32,28,41,39,40,36,38,39,19,25,27,15,43.33333333
5271,50,38,41,32,28,41,39,40,36,38,39,19,25,27,49
5272,39,50,38,41,32,28,41,39,40,36,38,39,19,25,54.33333333
5273,47,39,50,38,41,32,28,41,39,40,36,38,39,19,63.33333333
5274,53,47,39,50,38,41,32,28,41,39,40,36,38,39,59.66666667
5275,53,53,47,39,50,38,41,32,28,41,39,40,36,38,62
5276,61,53,53,47,39,50,38,41,32,28,41,39,40,36,58
5277,59,61,53,53,47,39,50,38,41,32,28,41,39,40,74.66666667
5278,62,59,61,53,53,47,39,50,38,41,32,28,41,39,75.33333333
5279,75,62,59,61,53,53,47,39,50,38,41,32,28,41,64.66666667
5280,56,75,62,59,61,53,53,47,39,50,38,41,32,28,64
5281,64,56,75,62,59,61,53,53,47,39,50,38,41,32,73.33333333
5282,69,64,56,75,62,59,61,53,53,47,39,50,38,41,70.33333333
5283,48,69,64,56,75,62,59,61,53,53,47,39,50,38,58.33333333
5284,57,48,69,64,56,75,62,59,61,53,53,47,39,50,47.33333333
5285,65,57,48,69,64,56,75,62,59,61,53,53,47,39,62.66666667
5286,54,65,57,48,69,64,56,75,62,59,61,53,53,47,53.66666667
5287,57,54,65,57,48,69,64,56,75,62,59,61,53,53,57
5288,46,57,54,65,57,48,69,64,56,75,62,59,61,53,49
5289,52,46,57,54,65,57,48,69,64,56,75,62,59,61,55.66666667
5290,54,52,46,57,54,65,57,48,69,64,56,75,62,59,52.66666667
5291,41,54,52,46,57,54,65,57,48,69,64,56,75,62,53.33333333
5292,60,41,54,52,46,57,54,65,57,48,69,64,56,75,44
5293,39,60,41,54,52,46,57,54,65,57,48,69,64,56,49.33333333
5294,48,39,60,41,54,52,46,57,54,65,57,48,69,64,49.66666667
5295,41,48,39,60,41,54,52,46,57,54,65,57,48,69,50.33333333
5296,40,41,48,39,60,41,54,52,46,57,54,65,57,48,52.33333333
5297,42,40,41,48,39,60,41,54,52,46,57,54,65,57,53
5298,47,42,40,41,48,39,60,41,54,52,46,57,54,65,50.33333333
5299,44,47,42,40,41,48,39,60,41,54,52,46,57,54,49.33333333
5300,29,44,47,42,40,41,48,39,60,41,54,52,46,57,44
5301,44,29,44,47,42,40,41,48,39,60,41,54,52,46,45.33333333
5302,40,44,29,44,47,42,40,41,48,39,60,41,54,52,47.33333333
5303,36,40,44,29,44,47,42,40,41,48,39,60,41,54,41.66666667
5304,39,36,40,44,29,44,47,42,40,41,48,39,60,41,43.66666667
5305,52,39,36,40,44,29,44,47,42,40,41,48,39,60,43.33333333
5306,34,52,39,36,40,44,29,44,47,42,40,41,48,39,42.66666667
5307,64,34,52,39,36,40,44,29,44,47,42,40,41,48,39.66666667
5308,43,64,34,52,39,36,40,44,29,44,47,42,40,41,45
5309,52,43,64,34,52,39,36,40,44,29,44,47,42,40,34.66666667
5310,51,52,43,64,34,52,39,36,40,44,29,44,47,42,42
5311,51,51,52,43,64,34,52,39,36,40,44,29,44,47,36.33333333
5312,48,51,51,52,43,64,34,52,39,36,40,44,29,44,44.66666667
5313,43,48,51,51,52,43,64,34,52,39,36,40,44,29,41
5314,45,43,48,51,51,52,43,64,34,52,39,36,40,44,39.66666667
5315,39,45,43,48,51,51,52,43,64,34,52,39,36,40,44.33333333
5316,40,39,45,43,48,51,51,52,43,64,34,52,39,36,35.33333333
5317,39,40,39,45,43,48,51,51,52,43,64,34,52,39,35.66666667
5318,38,39,40,39,45,43,48,51,51,52,43,64,34,52,35.66666667
5319,44,38,39,40,39,45,43,48,51,51,52,43,64,34,32.33333333
5320,38,44,38,39,40,39,45,43,48,51,51,52,43,64,31.33333333
5321,30,38,44,38,39,40,39,45,43,48,51,51,52,43,40.33333333
5322,30,30,38,44,38,39,40,39,45,43,48,51,51,52,35.66666667
5323,41,30,30,38,44,38,39,40,39,45,43,48,51,51,36.33333333
5324,29,41,30,30,38,44,38,39,40,39,45,43,48,51,31
5325,40,29,41,30,30,38,44,38,39,40,39,45,43,48,28.33333333
5326,32,40,29,41,30,30,38,44,38,39,40,39,45,43,30.66666667
5327,27,32,40,29,41,30,30,38,44,38,39,40,39,45,36.66666667
5328,30,27,32,40,29,41,30,30,38,44,38,39,40,39,41.33333333
5329,50,30,27,32,40,29,41,30,30,38,44,38,39,40,40.33333333
5330,35,50,30,27,32,40,29,41,30,30,38,44,38,39,29.33333333
5331,36,35,50,30,27,32,40,29,41,30,30,38,44,38,28
5332,32,36,35,50,30,27,32,40,29,41,30,30,38,44,31.33333333
5333,37,32,36,35,50,30,27,32,40,29,41,30,30,38,30.33333333
5334,38,37,32,36,35,50,30,27,32,40,29,41,30,30,34
5335,28,38,37,32,36,35,50,30,27,32,40,29,41,30,32.66666667
5336,40,28,38,37,32,36,35,50,30,27,32,40,29,41,34
5337,29,40,28,38,37,32,36,35,50,30,27,32,40,29,33
5338,32,29,40,28,38,37,32,36,35,50,30,27,32,40,32.66666667
5339,37,32,29,40,28,38,37,32,36,35,50,30,27,32,38.66666667
5340,26,37,32,29,40,28,38,37,32,36,35,50,30,27,34.66666667
5341,46,26,37,32,29,40,28,38,37,32,36,35,50,30,32.66666667
5342,29,46,26,37,32,29,40,28,38,37,32,36,35,50,39
5343,41,29,46,26,37,32,29,40,28,38,37,32,36,35,32.33333333
5344,44,41,29,46,26,37,32,29,40,28,38,37,32,36,36
5345,36,44,41,29,46,26,37,32,29,40,28,38,37,32,35
5346,35,36,44,41,29,46,26,37,32,29,40,28,38,37,35.33333333
5347,41,35,36,44,41,29,46,26,37,32,29,40,28,38,41
5348,27,41,35,36,44,41,29,46,26,37,32,29,40,28,39.66666667
