id,time,zhonghnanindown
5295,2016/1/8 9:10,48
5296,2016/1/8 9:15,41
5297,2016/1/8 9:20,40
5298,2016/1/8 9:25,42
5299,2016/1/8 9:30,47
5300,2016/1/8 9:35,44
5301,2016/1/8 9:40,29
5302,2016/1/8 9:45,44
5303,2016/1/8 9:50,40
5304,2016/1/8 9:55,36
5305,2016/1/8 10:00,39
5306,2016/1/8 10:05,52
5307,2016/1/8 10:10,34
5308,2016/1/8 10:15,64
5309,2016/1/8 10:20,43
5310,2016/1/8 10:25,52
5311,2016/1/8 10:30,51
5312,2016/1/8 10:35,51
5313,2016/1/8 10:40,48
5314,2016/1/8 10:45,43
5315,2016/1/8 10:50,45
5316,2016/1/8 10:55,39
5317,2016/1/8 11:00,40
5318,2016/1/8 11:05,39
5319,2016/1/8 11:10,38
5320,2016/1/8 11:15,44
5321,2016/1/8 11:20,38
5322,2016/1/8 11:25,30
5323,2016/1/8 11:30,30
5324,2016/1/8 11:35,41
5325,2016/1/8 11:40,29
5326,2016/1/8 11:45,40
5327,2016/1/8 11:50,32
5328,2016/1/8 11:55,27
5329,2016/1/8 12:00,30
5330,2016/1/8 12:05,50
5331,2016/1/8 12:10,35
5332,2016/1/8 12:15,36
5333,2016/1/8 12:20,32
5334,2016/1/8 12:25,37
5335,2016/1/8 12:30,38
5336,2016/1/8 12:35,28
5337,2016/1/8 12:40,40
5338,2016/1/8 12:45,29
5339,2016/1/8 12:50,32
5340,2016/1/8 12:55,37
5341,2016/1/8 13:00,26
5342,2016/1/8 13:05,46
5343,2016/1/8 13:10,29
5344,2016/1/8 13:15,41
5345,2016/1/8 13:20,44
5346,2016/1/8 13:25,36
5347,2016/1/8 13:30,35
5348,2016/1/8 13:35,41
5349,2016/1/8 13:40,27
5350,2016/1/8 13:45,45
5351,2016/1/8 13:50,36
5352,2016/1/8 13:55,46
5353,2016/1/8 14:00,46
5354,2016/1/8 14:05,35
5355,2016/1/8 14:10,54
5356,2016/1/8 14:15,46
5357,2016/1/8 14:20,45
5358,2016/1/8 14:25,51
5359,2016/1/8 14:30,45
