data,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11
25,21,12,15,21,12,14,9,4,7,5,4
21,12,15,21,12,14,9,4,7,5,4,11
12,15,21,12,14,9,4,7,5,4,11,7
15,21,12,14,9,4,7,5,4,11,7,7
21,12,14,9,4,7,5,4,11,7,7,4
12,14,9,4,7,5,4,11,7,7,4,3
14,9,4,7,5,4,11,7,7,4,3,2
9,4,7,5,4,11,7,7,4,3,2,3
4,7,5,4,11,7,7,4,3,2,3,4
7,5,4,11,7,7,4,3,2,3,4,6
5,4,11,7,7,4,3,2,3,4,6,5
4,11,7,7,4,3,2,3,4,6,5,7
11,7,7,4,3,2,3,4,6,5,7,5
7,7,4,3,2,3,4,6,5,7,5,4
7,4,3,2,3,4,6,5,7,5,4,9
4,3,2,3,4,6,5,7,5,4,9,17
3,2,3,4,6,5,7,5,4,9,17,13
2,3,4,6,5,7,5,4,9,17,13,12
3,4,6,5,7,5,4,9,17,13,12,23
4,6,5,7,5,4,9,17,13,12,23,16
6,5,7,5,4,9,17,13,12,23,16,32
5,7,5,4,9,17,13,12,23,16,32,28
7,5,4,9,17,13,12,23,16,32,28,41
5,4,9,17,13,12,23,16,32,28,41,41
4,9,17,13,12,23,16,32,28,41,41,59
9,17,13,12,23,16,32,28,41,41,59,90
17,13,12,23,16,32,28,41,41,59,90,128
13,12,23,16,32,28,41,41,59,90,128,137
12,23,16,32,28,41,41,59,90,128,137,126
23,16,32,28,41,41,59,90,128,137,126,137
16,32,28,41,41,59,90,128,137,126,137,150
32,28,41,41,59,90,128,137,126,137,150,134
28,41,41,59,90,128,137,126,137,150,134,151
41,41,59,90,128,137,126,137,150,134,151,146
41,59,90,128,137,126,137,150,134,151,146,170
59,90,128,137,126,137,150,134,151,146,170,143
90,128,137,126,137,150,134,151,146,170,143,134
128,137,126,137,150,134,151,146,170,143,134,134
137,126,137,150,134,151,146,170,143,134,134,152
126,137,150,134,151,146,170,143,134,134,152,143
137,150,134,151,146,170,143,134,134,152,143,142
150,134,151,146,170,143,134,134,152,143,142,116
134,151,146,170,143,134,134,152,143,142,116,127
151,146,170,143,134,134,152,143,142,116,127,111
146,170,143,134,134,152,143,142,116,127,111,129
170,143,134,134,152,143,142,116,127,111,129,104
143,134,134,152,143,142,116,127,111,129,104,116
134,134,152,143,142,116,127,111,129,104,116,83
134,152,143,142,116,127,111,129,104,116,83,109
152,143,142,116,127,111,129,104,116,83,109,109
143,142,116,127,111,129,104,116,83,109,109,123
142,116,127,111,129,104,116,83,109,109,123,115
116,127,111,129,104,116,83,109,109,123,115,121
127,111,129,104,116,83,109,109,123,115,121,99
111,129,104,116,83,109,109,123,115,121,99,114
129,104,116,83,109,109,123,115,121,99,114,115
104,116,83,109,109,123,115,121,99,114,115,139
116,83,109,109,123,115,121,99,114,115,139,153
83,109,109,123,115,121,99,114,115,139,153,138
109,109,123,115,121,99,114,115,139,153,138,142
109,123,115,121,99,114,115,139,153,138,142,147
123,115,121,99,114,115,139,153,138,142,147,141
115,121,99,114,115,139,153,138,142,147,141,173
121,99,114,115,139,153,138,142,147,141,173,157
99,114,115,139,153,138,142,147,141,173,157,160
114,115,139,153,138,142,147,141,173,157,160,124
115,139,153,138,142,147,141,173,157,160,124,134
139,153,138,142,147,141,173,157,160,124,134,111
153,138,142,147,141,173,157,160,124,134,111,97
138,142,147,141,173,157,160,124,134,111,97,97
142,147,141,173,157,160,124,134,111,97,97,101
147,141,173,157,160,124,134,111,97,97,101,75
141,173,157,160,124,134,111,97,97,101,75,55
173,157,160,124,134,111,97,97,101,75,55,57
157,160,124,134,111,97,97,101,75,55,57,55
160,124,134,111,97,97,101,75,55,57,55,51
124,134,111,97,97,101,75,55,57,55,51,
134,111,97,97,101,75,55,57,55,51,,
111,97,97,101,75,55,57,55,51,,,
97,97,101,75,55,57,55,51,,,,
97,101,75,55,57,55,51,,,,,
101,75,55,57,55,51,,,,,,
75,55,57,55,51,,,,,,,
55,57,55,51,,,,,,,,
57,55,51,,,,,,,,,
55,51,,,,,,,,,,
51,,,,,,,,,,,
